date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:26:19	15525/15525	---M--	200	added ('OK')	application/octet-stream-unknown	etag:%2205d70158e67d51:0%22	http://daotao.hutech.edu.vn/Upload/file/MH%20tuong%20duong/KHOA%20DUOC.xlsx	C:/My%20Web%20Sites/daotaoohutech/daotao.hutech.edu.vn/Upload/file/MH%20tuong%20duong/KHOA%20DUOC.xlsx	(from http://daotao.hutech.edu.vn/)
09:27:09	1680896/1680896	---M--	200	added ('OK')	application/vnd.ms-excel	etag:%22087c38ce624d51:0%22	http://daotao.hutech.edu.vn/Upload/file/MH%20tuong%20duong/MHTD%20TT.Ky%20nang%20nghe.xls	C:/My%20Web%20Sites/daotaoohutech/daotao.hutech.edu.vn/Upload/file/MH%20tuong%20duong/MHTD%20TT.Ky%20nang%20nghe.xls	(from http://daotao.hutech.edu.vn/)
09:27:21	68361/68361	---M--	200	added ('OK')	application/octet-stream-unknown	etag:%22ee4dc1256678d71:0%22	http://daotao.hutech.edu.vn/Upload/file/MH%20tuong%20duong/TTDPT_Mon%20tuong%20duong.xlsx	C:/My%20Web%20Sites/daotaoohutech/daotao.hutech.edu.vn/Upload/file/MH%20tuong%20duong/TTDPT_Mon%20tuong%20duong.xlsx	(from http://daotao.hutech.edu.vn/)
09:27:31	62464/62464	---M--	200	added ('OK')	application/msword	etag:%220f69cf1f745d21:0%22	http://daotao.hutech.edu.vn/Upload/file/H%c6%af%e1%bb%9aNG%20D%e1%ba%aaN%20%c4%90%c4%82NG%20K%c3%9d%20M%c3%94N%20H%e1%bb%8cC%20T%e1%bb%b0%20CH%e1%bb%8cN%20KH%c3%93A%2020161.doc	C:/My%20Web%20Sites/daotaoohutech/daotao.hutech.edu.vn/Upload/file/H%c6%af%e1%bb%9aNG%20D%e1%ba%aaN%20%c4%90%c4%82NG%20K%c3%9d%20M%c3%94N%20H%e1%bb%8cC%20T%e1%bb%b0%20CH%e1%bb%8cN%20KH%c3%93A%2020161.doc	(from http://daotao.hutech.edu.vn/)
09:27:32	150/150	---M--	302	error ('Found')	text/html	date:Sun,%2024%20Oct%202021%2016:32:57%20GMT	http://daotao.hutech.edu.vn/default.aspx?page=thongtin&sta=1&id=10	C:/My%20Web%20Sites/daotaoohutech/daotao.hutech.edu.vn/default.55b95c.delayed	(from http://daotao.hutech.edu.vn/)
09:27:32	25693/25693	---M--	200	added ('OK')	text/html	date:Sun,%2024%20Oct%202021%2016:32:58%20GMT	http://daotao.hutech.edu.vn/default.aspx?page=dangnhap	C:/My%20Web%20Sites/daotaoohutech/daotao.hutech.edu.vn/defaultcc50-2.html	(from http://daotao.hutech.edu.vn/)
09:27:38	30720/30720	---M--	200	added ('OK')	application/msword	etag:%22048917be94fd41:0%22	http://daotao.hutech.edu.vn/Upload/file/MH%20co%20tai%20lieu/HD_HMH1.doc	C:/My%20Web%20Sites/daotaoohutech/daotao.hutech.edu.vn/Upload/file/MH%20co%20tai%20lieu/HD_HMH1.doc	(from http://daotao.hutech.edu.vn/)
09:27:44	32256/32256	---M--	200	added ('OK')	application/msword	etag:%22b687f0fe20a5d71:0%22	http://daotao.hutech.edu.vn/Upload/file/HD_RMH1.doc	C:/My%20Web%20Sites/daotaoohutech/daotao.hutech.edu.vn/Upload/file/HD_RMH1.doc	(from http://daotao.hutech.edu.vn/)
09:29:12	1680896/1680896	---M--	200	added ('OK')	application/vnd.ms-excel	etag:%220fd739de624d51:0%22	http://daotao.hutech.edu.vn/Upload/file/MH%20tuong%20duong/MHTD%20TT.Tin%20hoc.xls	C:/My%20Web%20Sites/daotaoohutech/daotao.hutech.edu.vn/Upload/file/MH%20tuong%20duong/MHTD%20TT.Tin%20hoc.xls	(from http://daotao.hutech.edu.vn/)
09:29:12	60/60	---M--	200	added ('OK')	image/gif	etag:%2202d758f821bca1:0%22	http://daotao.hutech.edu.vn/App_Themes/Standard/Images/arrow_r.gif	C:/My%20Web%20Sites/daotaoohutech/daotao.hutech.edu.vn/App_Themes/Standard/Images/arrow_r.gif	(from http://daotao.hutech.edu.vn/)
09:29:13	2502/2502	---M--	200	added ('OK')	image/jpeg	etag:%2202d758f821bca1:0%22	http://daotao.hutech.edu.vn//App_Themes/Standard/Images/images.jpg	C:/My%20Web%20Sites/daotaoohutech/daotao.hutech.edu.vn/App_Themes/Standard/Images/images.jpg	(from http://daotao.hutech.edu.vn/)
09:29:13	840/840	---M--	200	added ('OK')	image/gif	etag:%2202d758f821bca1:0%22	http://daotao.hutech.edu.vn/App_Themes/Standard/Images/Bull9.gif	C:/My%20Web%20Sites/daotaoohutech/daotao.hutech.edu.vn/App_Themes/Standard/Images/Bull9.gif	(from http://daotao.hutech.edu.vn/)
09:29:15	89148/89148	---M--	200	added ('OK')	text/html	date:Sun,%2024%20Oct%202021%2016:34:39%20GMT	http://daotao.hutech.edu.vn/default.aspx?page=chitietthongtin&id=10	C:/My%20Web%20Sites/daotaoohutech/daotao.hutech.edu.vn/default47eb.html	(from http://daotao.hutech.edu.vn/)
09:29:16	22801/22801	---M--	200	added ('OK')	text/html	date:Sun,%2024%20Oct%202021%2016:34:41%20GMT	http://daotao.hutech.edu.vn/default.aspx?page=danhsachthongtin&type=0	C:/My%20Web%20Sites/daotaoohutech/daotao.hutech.edu.vn/defaultb398.html	(from http://daotao.hutech.edu.vn/)
09:29:17	22404/22404	---M--	200	added ('OK')	text/html	date:Sun,%2024%20Oct%202021%2016:34:42%20GMT	http://daotao.hutech.edu.vn/default.aspx?page=chitietthongtin&id=6	C:/My%20Web%20Sites/daotaoohutech/daotao.hutech.edu.vn/default85eb.html	(from http://daotao.hutech.edu.vn/)
09:29:18	21735/21735	---M--	200	added ('OK')	text/html	date:Sun,%2024%20Oct%202021%2016:34:43%20GMT	http://daotao.hutech.edu.vn/default.aspx?page=danhsachthongtin&type=1	C:/My%20Web%20Sites/daotaoohutech/daotao.hutech.edu.vn/defaultb2c9.html	(from http://daotao.hutech.edu.vn/)
09:29:19	21468/21468	---M--	200	added ('OK')	text/html	date:Sun,%2024%20Oct%202021%2016:34:44%20GMT	http://daotao.hutech.edu.vn/default.aspx?page=chitietthongtin&id=7	C:/My%20Web%20Sites/daotaoohutech/daotao.hutech.edu.vn/defaultdcdb.html	(from http://daotao.hutech.edu.vn/)
09:29:20	21757/21757	---M--	200	added ('OK')	text/html	date:Sun,%2024%20Oct%202021%2016:34:45%20GMT	http://daotao.hutech.edu.vn/default.aspx?page=danhsachthongtin&type=2	C:/My%20Web%20Sites/daotaoohutech/daotao.hutech.edu.vn/default7590.html	(from http://daotao.hutech.edu.vn/)
09:29:21	54/54	---M--	200	added ('OK')	image/gif	etag:%2202d758f821bca1:0%22	http://daotao.hutech.edu.vn/App_Themes/Standard/Images/icon_11c.gif	C:/My%20Web%20Sites/daotaoohutech/daotao.hutech.edu.vn/App_Themes/Standard/Images/icon_11c.gif	(from http://daotao.hutech.edu.vn/)
09:29:21	502/502	---M--	200	added ('OK')	image/png	etag:%220cba0a219d1d21:0%22	http://daotao.hutech.edu.vn/App_Themes/Standard/Images/iconHome.png	C:/My%20Web%20Sites/daotaoohutech/daotao.hutech.edu.vn/App_Themes/Standard/Images/iconHome.png	(from http://daotao.hutech.edu.vn/)
09:29:22	151451/151451	---M--	200	added ('OK')	text/html	date:Sun,%2024%20Oct%202021%2016:34:47%20GMT	http://daotao.hutech.edu.vn/Default.aspx	C:/My%20Web%20Sites/daotaoohutech/daotao.hutech.edu.vn/Default.html	(from http://daotao.hutech.edu.vn/)
09:29:23	709/709	---M--	200	added ('OK')	image/gif	etag:%220cba0a219d1d21:0%22	http://daotao.hutech.edu.vn/App_Themes/Standard/Images/topTen.gif	C:/My%20Web%20Sites/daotaoohutech/daotao.hutech.edu.vn/App_Themes/Standard/Images/topTen.gif	(from http://daotao.hutech.edu.vn/)
09:29:24	24464/24464	---M--	200	added ('OK')	text/html	date:Sun,%2024%20Oct%202021%2016:34:49%20GMT	http://daotao.hutech.edu.vn/Default.aspx?page=thongtinsp	C:/My%20Web%20Sites/daotaoohutech/daotao.hutech.edu.vn/Defaultdcbc.html	(from http://daotao.hutech.edu.vn/)
09:29:25	452/452	---M--	200	added ('OK')	image/png	etag:%22f887ff985f60d01:0%22	http://daotao.hutech.edu.vn/images/button_small_inactive.png	C:/My%20Web%20Sites/daotaoohutech/daotao.hutech.edu.vn/images/button_small_inactive.png	(from http://daotao.hutech.edu.vn/WebResource.axd?d=-N0r1nT_jXoAwZbO_0U9HCDKZ-08m8qGRdgnoVxBxdOErEJBEZuciSe94tifYeQlIas_QxAFjy5SyN_YPgo62xD8T4k-ArA29-9vAc1nnBNg9Gd_tcbAETnv1j2QCvtYxvYMLsRU2LOeez39v_HKt4-yOQ_UOsaqmNhPm5xbl44kC7by0&t=637698944820000000)
09:29:26	915/915	---M--	200	added ('OK')	image/png	etag:%220cba0a219d1d21:0%22	http://daotao.hutech.edu.vn/App_Themes/Standard/Images/Background.png	C:/My%20Web%20Sites/daotaoohutech/daotao.hutech.edu.vn/App_Themes/Standard/Images/Background-2.png	(from http://daotao.hutech.edu.vn/App_Themes/Standard/Standard.css)
09:29:26	592/592	---M--	200	added ('OK')	image/png	etag:%220cba0a219d1d21:0%22	http://daotao.hutech.edu.vn/App_Themes/Standard/Images/MenuBgLeft.png	C:/My%20Web%20Sites/daotaoohutech/daotao.hutech.edu.vn/App_Themes/Standard/Images/MenuBgLeft.png	(from http://daotao.hutech.edu.vn/App_Themes/Standard/Standard.css)
09:29:26	325/325	---M--	200	added ('OK')	image/png	etag:%220cba0a219d1d21:0%22	http://daotao.hutech.edu.vn/App_Themes/Standard/Images/MenuBgRight.png	C:/My%20Web%20Sites/daotaoohutech/daotao.hutech.edu.vn/App_Themes/Standard/Images/MenuBgRight.png	(from http://daotao.hutech.edu.vn/App_Themes/Standard/Standard.css)
09:29:27	224/224	---M--	200	added ('OK')	image/png	etag:%220cba0a219d1d21:0%22	http://daotao.hutech.edu.vn/App_Themes/Standard/Images/MenuBg.png	C:/My%20Web%20Sites/daotaoohutech/daotao.hutech.edu.vn/App_Themes/Standard/Images/MenuBg.png	(from http://daotao.hutech.edu.vn/App_Themes/Standard/Standard.css)
09:29:27	2270/2270	---M--	200	added ('OK')	image/png	etag:%220cba0a219d1d21:0%22	http://daotao.hutech.edu.vn/App_Themes/Standard/Images/phone-icon.png	C:/My%20Web%20Sites/daotaoohutech/daotao.hutech.edu.vn/App_Themes/Standard/Images/phone-icon.png	(from http://daotao.hutech.edu.vn/App_Themes/Standard/Standard.css)
09:29:28	331/331	---M--	200	added ('OK')	image/png	etag:%220cba0a219d1d21:0%22	http://daotao.hutech.edu.vn/App_Themes/Standard/Images/left-phone.png	C:/My%20Web%20Sites/daotaoohutech/daotao.hutech.edu.vn/App_Themes/Standard/Images/left-phone.png	(from http://daotao.hutech.edu.vn/App_Themes/Standard/Standard.css)
